This file format is designed for importing mesh result into sbfem3d project. It is created by Yan LIU (liuyan0411@gmail.com)
3223 2084
120	100	100
120	105	100
115	105	100
115	100	100
120	100	105
120	105	105
115	105	105
115	100	105
125	100	100
125	105	100
125	100	105
125	105	105
130	100	100
130	105	100
130	100	105
130	105	105
135	100	100
135	105	100
135	100	105
135	105	105
140	100	100
140	105	100
140	100	105
140	105	105
145	100	100
145	105	100
145	100	105
145	105	105
149.991	100	100
149.746	104.978	99.9967
149.747	100	104.972
149.5	104.956	104.956
120	110	100
115	110	100
120	110	105
115	110	105
125	110	100
125	110	105
130	110	100
130	110	105
135	110	100
135	110	105
140	110	100
140	110	105
145	110	100
145	110	105
120	115	100
115	115	100
120	115	105
115	115	105
125	115	100
125	115	105
130	115	100
130	115	105
135	115	100
135	115	105
140	115	100
140	115	105
145	115	100
145	115	105
105	115	100
105	120	100
100	120	100
100	115	100
105	115	105
105	120	105
100	120	105
100	115	105
110	115	100
110	120	100
110	115	105
110	120	105
115	120	100
115	120	105
120	120	100
120	120	105
125	120	100
125	120	105
130	120	100
130	120	105
135	120	100
135	120	105
140	120	100
140	120	105
145.679	120.295	100
145.447	120.194	105.054
105	125	100
100	125	100
105	125	105
100	125	105
110	125	100
110	125	105
115	125	100
115	125	105
120	125	100
120	125	105
125	125	100
125	125	105
130	125	100
130	125	105
135	125	100
135	125	105
140	125	100
140	125	105
105	130	100
100	130	100
105	130	105
100	130	105
110	130	100
110	130	105
115	130	100
115	130	105
120	130	100
120	130	105
125	130	100
125	130	105
130	130	100
130	130	105
135	130	100
135	130	105
139.989	129.992	100
139.791	129.847	104.971
105	135	100
100	135	100
105	135	105
100	135	105
110	135	100
110	135	105
115	135	100
115	135	105
120	135	100
120	135	105
125	135	100
125	135	105
130	135	100
130	135	105
135.346	135.343	99.9974
135.165	135.165	105.025
105	140	100
100	140	100
105	140	105
100	140	105
110	140	100
110	140	105
115	140	100
115	140	105
120	140	100
120	140	105
125	140	100
125	140	105
129.993	139.991	100
129.847	139.792	104.974
105	145	100
100	145	100
105	145	105
100	145	105
110	145	100
110	145	105
115	145	100
115	145	105
120.3	145.676	100
120.196	145.446	105.055
